val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best
0.16246849298477173,0.11737843602895737,0.0,0.0,0.0,392.0,0.22961875796318054,0.16246849298477173,0,21,,,,,,,,
,,,,,,,,0,21,0.18931840360164642,0.13652195036411285,0.0,0.0,0.0,442.3636474609375,0.13652195036411285,0.18931840360164642
0.13719479739665985,0.4733998775482178,0.39520561695098877,1.0,148.5,392.0,0.4733998775482178,0.13719479739665985,1,43,,,,,,,,
,,,,,,,,1,43,0.17917749285697937,0.2977029085159302,0.1879907250404358,0.6740280985832214,80.09091186523438,442.3636474609375,0.2977029085159302,0.17917749285697937
0.12731872498989105,0.49873659014701843,0.4284549057483673,0.997929573059082,165.3333282470703,392.0,0.49873659014701843,0.12731872498989105,2,65,,,,,,,,
,,,,,,,,2,65,0.1485489159822464,0.49751541018486023,0.4195895195007324,0.9960744380950928,184.22727966308594,442.3636474609375,0.49751541018486023,0.1485489159822464
0.1317211240530014,0.47593116760253906,0.39840805530548096,1.0,150.1666717529297,392.0,0.49873659014701843,0.12731872498989105,3,87,,,,,,,,
,,,,,,,,3,87,0.14538370072841644,0.48803794384002686,0.4077003300189972,0.9977615475654602,180.27272033691406,442.3636474609375,0.49751541018486023,0.14538370072841644
0.12803897261619568,0.4955688714981079,0.42470645904541016,0.9978768825531006,163.6666717529297,392.0,0.49873659014701843,0.12731872498989105,4,109,,,,,,,,
,,,,,,,,4,109,0.14915920794010162,0.49659356474876404,0.41495734453201294,0.9972764849662781,184.9545440673828,442.3636474609375,0.49751541018486023,0.14538370072841644
0.1282312124967575,0.4932389557361603,0.4209296703338623,1.0,161.5,392.0,0.49873659014701843,0.12731872498989105,5,131,,,,,,,,
,,,,,,,,5,131,0.14192093908786774,0.5224072933197021,0.44843119382858276,0.9953422546386719,199.13636779785156,442.3636474609375,0.5224072933197021,0.14192093908786774
0.1232769712805748,0.619106650352478,0.5800159573554993,0.9738297462463379,235.6666717529297,392.0,0.619106650352478,0.1232769712805748,6,153,,,,,,,,
,,,,,,,,6,153,0.13562439382076263,0.5376854538917542,0.46724697947502136,0.9968600869178772,205.36363220214844,442.3636474609375,0.5376854538917542,0.13562439382076263
0.11667565256357193,0.549020528793335,0.48897209763526917,1.0,193.8333282470703,392.0,0.619106650352478,0.11667565256357193,7,175,,,,,,,,
,,,,,,,,7,175,0.14068275690078735,0.5246975421905518,0.45314913988113403,0.9939930438995361,200.36363220214844,442.3636474609375,0.5376854538917542,0.13562439382076263
0.11948612332344055,0.5644134879112244,0.5193091034889221,0.9775168299674988,213.5,392.0,0.619106650352478,0.11667565256357193,8,197,,,,,,,,
,,,,,,,,8,197,0.13717518746852875,0.5338748693466187,0.46249210834503174,0.9955641031265259,205.4545440673828,442.3636474609375,0.5376854538917542,0.13562439382076263
0.09789659827947617,0.5583092570304871,0.5024439692497253,0.9946236610412598,201.0,392.0,0.619106650352478,0.09789659827947617,9,219,,,,,,,,
,,,,,,,,9,219,0.13265548646450043,0.5578053593635559,0.4899815618991852,0.9950588345527649,216.5454559326172,442.3636474609375,0.5578053593635559,0.13265548646450043
0.08246893435716629,0.5791043639183044,0.5494086146354675,0.9679234027862549,232.6666717529297,392.0,0.619106650352478,0.08246893435716629,10,241,,,,,,,,
,,,,,,,,10,241,0.12051841616630554,0.5716375708580017,0.5060085654258728,0.9955633282661438,222.27272033691406,442.3636474609375,0.5716375708580017,0.12051841616630554
0.010786148719489574,0.9882819652557373,0.9847361445426941,1.0,384.5,392.0,0.9882819652557373,0.010786148719489574,11,263,,,,,,,,
,,,,,,,,11,263,0.06842706352472305,0.743826687335968,0.7056395411491394,0.994067907333374,309.6363525390625,442.3636474609375,0.743826687335968,0.06842706352472305
0.039081279188394547,0.9115666747093201,0.8982131481170654,1.0,353.1666564941406,392.0,0.9882819652557373,0.010786148719489574,12,285,,,,,,,,
,,,,,,,,12,285,0.04330706223845482,0.9509202837944031,0.948130190372467,0.9945012927055359,422.3636474609375,442.3636474609375,0.9509202837944031,0.04330706223845482
0.01036161556839943,0.9740213751792908,0.968649685382843,1.0,379.3333435058594,392.0,0.9882819652557373,0.01036161556839943,13,307,,,,,,,,
,,,,,,,,13,307,0.022825689986348152,0.9574384689331055,0.9524643421173096,0.9985637664794922,422.2272644042969,442.3636474609375,0.9574384689331055,0.022825689986348152
0.010179613716900349,0.9778048396110535,0.9735925793647766,1.0,381.6666564941406,392.0,0.9882819652557373,0.010179613716900349,14,329,,,,,,,,
,,,,,,,,14,329,0.015925109386444092,0.9709329009056091,0.9675073623657227,0.9989781975746155,428.9090881347656,442.3636474609375,0.9709329009056091,0.015925109386444092
0.006992147769778967,0.9926133155822754,0.9904529452323914,1.0,387.3333435058594,392.0,0.9926133155822754,0.006992147769778967,15,351,,,,,,,,
,,,,,,,,15,351,0.012333136983215809,0.9818519949913025,0.9796306490898132,0.9992871880531311,433.5,442.3636474609375,0.9818519949913025,0.012333136983215809
0.005480461288243532,0.9920597076416016,0.9895746111869812,1.0,386.8333435058594,392.0,0.9926133155822754,0.005480461288243532,16,373,,,,,,,,
,,,,,,,,16,373,0.013242372311651707,0.9787728786468506,0.9758015275001526,0.999316930770874,432.1363525390625,442.3636474609375,0.9818519949913025,0.012333136983215809
0.013488785363733768,0.9843441843986511,0.979592502117157,1.0,382.0,392.0,0.9926133155822754,0.005480461288243532,17,395,,,,,,,,
,,,,,,,,17,395,0.008855204097926617,0.9863128066062927,0.9842509627342224,0.9998002648353577,435.2272644042969,442.3636474609375,0.9863128066062927,0.008855204097926617
0.0063399202190339565,0.9916048049926758,0.9891301989555359,1.0,386.6666564941406,392.0,0.9926133155822754,0.005480461288243532,18,417,,,,,,,,
,,,,,,,,18,417,0.008992320857942104,0.9853000044822693,0.9833253622055054,0.9996049404144287,435.0454406738281,442.3636474609375,0.9863128066062927,0.008855204097926617
0.014166857115924358,0.9834408164024353,0.9782790541648865,1.0,381.3333435058594,392.0,0.9926133155822754,0.005480461288243532,19,439,,,,,,,,
,,,,,,,,19,439,0.010065627284348011,0.9810094237327576,0.9783392548561096,0.9997059106826782,432.7727355957031,442.3636474609375,0.9863128066062927,0.008855204097926617
0.00796415563672781,0.9905416965484619,0.987590491771698,1.0,385.8333435058594,392.0,0.9926133155822754,0.005480461288243532,20,461,,,,,,,,
,,,,,,,,20,461,0.009890304878354073,0.9849138855934143,0.9826967120170593,0.9996058940887451,434.5909118652344,442.3636474609375,0.9863128066062927,0.008855204097926617
0.0034101151395589113,0.9930577278137207,0.9908973574638367,1.0,387.5,392.0,0.9930577278137207,0.0034101151395589113,21,483,,,,,,,,
,,,,,,,,21,483,0.008361014537513256,0.9897871613502502,0.9880530834197998,0.9999029040336609,437.68182373046875,442.3636474609375,0.9897871613502502,0.008361014537513256
0.0014624962350353599,0.9961252808570862,0.9948656558990479,1.0,389.5,392.0,0.9961252808570862,0.0014624962350353599,22,505,,,,,,,,
,,,,,,,,22,505,0.00564388744533062,0.9935136437416077,0.992379367351532,1.0,438.8636474609375,442.3636474609375,0.9935136437416077,0.00564388744533062
0.0013792157405987382,0.996374785900116,0.9951963424682617,1.0,389.6666564941406,392.0,0.996374785900116,0.0013792157405987382,23,527,,,,,,,,
,,,,,,,,23,527,0.006408215966075659,0.9909359216690063,0.9895980954170227,0.9998985528945923,437.7727355957031,442.3636474609375,0.9935136437416077,0.00564388744533062
0.002425483427941799,0.9940557479858398,0.9922201037406921,1.0,388.1666564941406,392.0,0.996374785900116,0.0013792157405987382,24,549,,,,,,,,
,,,,,,,,24,549,0.008276427164673805,0.9889485836029053,0.987535834312439,0.9994190335273743,437.1363525390625,442.3636474609375,0.9935136437416077,0.00564388744533062
0.006122265476733446,0.9926007390022278,0.9902359843254089,1.0,387.1666564941406,392.0,0.996374785900116,0.0013792157405987382,25,571,,,,,,,,
