val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best,test/loss,test/acc,test/prec,test/rec,test/preds_sum,test/targets_sum,test/TP_epoch,test/FP_epoch,test/TN_epoch,test/FN_epoch,test/acc_epoch,test/prec_epoch,test/rec_epoch,test/preds_sum_epoch,test/targets_sum_epoch
0.162624329328537,0.11737843602895737,0.0,0.0,0.0,392.0,0.22961875796318054,0.162624329328537,0,21,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,21,0.184981569647789,0.1334570199251175,0.0,0.0,0.0,442.3636474609375,0.1334570199251175,0.184981569647789,,,,,,,,,,,,,,,
0.16085349023342133,0.11737843602895737,0.0,0.0,0.0,392.0,0.22961875796318054,0.16085349023342133,1,43,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,43,0.1867881864309311,0.1362411081790924,0.0,0.0,0.0,442.3636474609375,0.1362411081790924,0.184981569647789,,,,,,,,,,,,,,,
0.12822498381137848,0.5969910025596619,0.527790367603302,1.0,194.8333282470703,392.0,0.5969910025596619,0.12822498381137848,2,65,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,65,0.15907731652259827,0.4231111407279968,0.34084996581077576,0.7123794555664062,151.13636779785156,442.3636474609375,0.4231111407279968,0.15907731652259827,,,,,,,,,,,,,,,
0.141153946518898,0.6809373497962952,0.6527952551841736,0.9411929249763489,263.6666564941406,392.0,0.6809373497962952,0.12822498381137848,3,87,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,87,0.14728927612304688,0.5426374077796936,0.4740198850631714,0.9900392293930054,211.36363220214844,442.3636474609375,0.5426374077796936,0.14728927612304688,,,,,,,,,,,,,,,
0.12748807668685913,0.7537973523139954,0.7221848368644714,0.9607431292533875,283.6666564941406,392.0,0.7537973523139954,0.12748807668685913,4,109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,109,0.1412859708070755,0.5520037412643433,0.4841502904891968,0.9923511147499084,214.0454559326172,442.3636474609375,0.5520037412643433,0.1412859708070755,,,,,,,,,,,,,,,
0.1254560798406601,0.7960708141326904,0.7595341205596924,0.9689561724662781,288.0,392.0,0.7960708141326904,0.1254560798406601,5,131,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,131,0.1397276669740677,0.584709644317627,0.5224871039390564,0.9909148812294006,232.13636779785156,442.3636474609375,0.584709644317627,0.1397276669740677,,,,,,,,,,,,,,,
0.11320716142654419,0.7108361124992371,0.6511357426643372,1.0,243.6666717529297,392.0,0.7960708141326904,0.11320716142654419,6,153,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,153,0.13392284512519836,0.6326906681060791,0.5782959461212158,0.9889716506004333,259.5,442.3636474609375,0.6326906681060791,0.13392284512519836,,,,,,,,,,,,,,,
0.11056458204984665,0.7170636653900146,0.660636305809021,1.0,249.8333282470703,392.0,0.7960708141326904,0.11056458204984665,7,175,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,175,0.12912417948246002,0.6138597130775452,0.5544115304946899,0.9944950342178345,245.72727966308594,442.3636474609375,0.6326906681060791,0.12912417948246002,,,,,,,,,,,,,,,
0.11127183586359024,0.6986953616142273,0.6411126255989075,1.0,243.5,392.0,0.7960708141326904,0.11056458204984665,8,197,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,197,0.12920385599136353,0.620122492313385,0.5621602535247803,0.9944198131561279,251.68182373046875,442.3636474609375,0.6326906681060791,0.12912417948246002,,,,,,,,,,,,,,,
0.052849989384412766,0.9034361243247986,0.8764626383781433,1.0,334.5,392.0,0.9034361243247986,0.052849989384412766,9,219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,219,0.11488695442676544,0.6718798279762268,0.6239839196205139,0.9928322434425354,278.2727355957031,442.3636474609375,0.6718798279762268,0.11488695442676544,,,,,,,,,,,,,,,
0.012860655784606934,0.9800470471382141,0.9742318987846375,1.0,379.3333435058594,392.0,0.9800470471382141,0.012860655784606934,10,241,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,241,0.06800568848848343,0.8741971850395203,0.858786404132843,0.9930692911148071,380.81817626953125,442.3636474609375,0.8741971850395203,0.06800568848848343,,,,,,,,,,,,,,,
0.020008129999041557,0.9572061896324158,0.9480277895927429,1.0,370.0,392.0,0.9800470471382141,0.012860655784606934,11,263,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,263,0.03214891254901886,0.9600944519042969,0.9579051733016968,0.9953140616416931,425.81817626953125,442.3636474609375,0.9600944519042969,0.03214891254901886,,,,,,,,,,,,,,,
0.01043293159455061,0.9875229001045227,0.9837347865104675,1.0,384.0,392.0,0.9875229001045227,0.01043293159455061,12,285,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,285,0.025225240737199783,0.9563090801239014,0.9512350559234619,0.99788498878479,421.3636474609375,442.3636474609375,0.9600944519042969,0.025225240737199783,,,,,,,,,,,,,,,
0.014855383895337582,0.9824872016906738,0.9772427678108215,1.0,380.8333435058594,392.0,0.9875229001045227,0.01043293159455061,13,307,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,307,0.01762448437511921,0.9698787331581116,0.9659661650657654,0.9990770816802979,427.18182373046875,442.3636474609375,0.9698787331581116,0.01762448437511921,,,,,,,,,,,,,,,
