val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best,test/loss,test/acc,test/prec,test/rec,test/preds_sum,test/targets_sum,test/TP_epoch,test/FP_epoch,test/TN_epoch,test/FN_epoch,test/acc_epoch,test/prec_epoch,test/rec_epoch,test/preds_sum_epoch,test/targets_sum_epoch
1.2370611429214478,0.8928486704826355,0.0,0.0,0.0,9247.5,0.8928486704826355,1.2341396808624268,0,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,13,1.1697269678115845,0.8438358306884766,0.0,0.0,0.0,5336.21435546875,0.8438358306884766,1.1697269678115845,,,,,,,,,,,,,,,
1.2162325382232666,0.8928486704826355,0.0,0.0,0.0,9247.5,0.8928486704826355,1.2162325382232666,1,27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,27,1.1632705926895142,0.843244731426239,0.0,0.0,0.0,5336.21435546875,0.8438358306884766,1.1632705926895142,,,,,,,,,,,,,,,
1.1680386066436768,0.8823562860488892,0.2816230058670044,0.4318784773349762,6127.0,9247.5,0.8928486704826355,1.1680386066436768,2,41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,41,1.1134638786315918,0.8242984414100647,0.09538940340280533,0.1700415313243866,1474.2142333984375,5336.21435546875,0.8438358306884766,1.1134638786315918,,,,,,,,,,,,,,,
1.194523572921753,0.8993146419525146,0.21783465147018433,0.5872462391853333,3474.5,9247.5,0.8993146419525146,1.1680386066436768,3,55,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,55,1.0323292016983032,0.7349936366081238,0.5539959669113159,0.33490410447120667,9978.4287109375,5336.21435546875,0.8438358306884766,1.0323292016983032,,,,,,,,,,,,,,,
1.3483693599700928,0.9024509191513062,0.28430426120758057,0.593778669834137,4425.5,9247.5,0.9024509191513062,1.1680386066436768,4,69,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,69,0.9371784925460815,0.7722617983818054,0.6182392835617065,0.3712701201438904,9089.5,5336.21435546875,0.8438358306884766,0.9371784925460815,,,,,,,,,,,,,,,
1.1484410762786865,0.878115177154541,0.5162348747253418,0.4409787952899933,10823.0,9247.5,0.9024509191513062,1.1484410762786865,5,83,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,83,0.9103084206581116,0.7653194665908813,0.6592467427253723,0.38307031989097595,9675.0,5336.21435546875,0.8438358306884766,0.9103084206581116,,,,,,,,,,,,,,,
1.1156022548675537,0.826539933681488,0.6432172656059265,0.3376288414001465,17605.5,9247.5,0.9024509191513062,1.1156022548675537,6,97,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,97,0.8678585290908813,0.7784716486930847,0.6766844391822815,0.39272040128707886,9523.5712890625,5336.21435546875,0.8438358306884766,0.8678585290908813,,,,,,,,,,,,,,,
1.2073957920074463,0.840670645236969,0.6097170114517212,0.35726553201675415,15769.75,9247.5,0.9024509191513062,1.1156022548675537,7,111,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,111,0.8377380967140198,0.7783452272415161,0.7121530771255493,0.3911833167076111,9732.7861328125,5336.21435546875,0.8438358306884766,0.8377380967140198,,,,,,,,,,,,,,,
1.3313508033752441,0.8825037479400635,0.5244666337966919,0.4574756622314453,10601.75,9247.5,0.9024509191513062,1.1156022548675537,8,125,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,125,0.8333818316459656,0.7662551999092102,0.7346559166908264,0.3844362199306488,10504.2861328125,5336.21435546875,0.8438358306884766,0.8333818316459656,,,,,,,,,,,,,,,
1.4025459289550781,0.8837319016456604,0.5284373760223389,0.46232131123542786,10567.25,9247.5,0.9024509191513062,1.1156022548675537,9,139,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,139,0.8070226311683655,0.7867806553840637,0.7181525230407715,0.40878763794898987,9640.642578125,5336.21435546875,0.8438358306884766,0.8070226311683655,,,,,,,,,,,,,,,
1.4234023094177246,0.884126603603363,0.5439969897270203,0.46481192111968994,10821.25,9247.5,0.9024509191513062,1.1156022548675537,10,153,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,153,0.782264769077301,0.7898313403129578,0.7391559481620789,0.4068768620491028,9744.142578125,5336.21435546875,0.8438358306884766,0.782264769077301,,,,,,,,,,,,,,,
1.4345145225524902,0.8830134272575378,0.5432277917861938,0.4609948992729187,10897.0,9247.5,0.9024509191513062,1.1156022548675537,11,167,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,167,0.7764545679092407,0.7936052083969116,0.7300965189933777,0.4226934313774109,9627.5712890625,5336.21435546875,0.8438358306884766,0.7764545679092407,,,,,,,,,,,,,,,
1.3693573474884033,0.8916953206062317,0.5508981943130493,0.4948805570602417,10298.25,9247.5,0.9024509191513062,1.1156022548675537,12,181,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,181,0.7578705549240112,0.8000265955924988,0.7420688271522522,0.4250654876232147,9332.9287109375,5336.21435546875,0.8438358306884766,0.7578705549240112,,,,,,,,,,,,,,,
1.2424559593200684,0.8782169222831726,0.6347125172615051,0.45164424180984497,13003.25,9247.5,0.9024509191513062,1.1156022548675537,13,195,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,195,0.7280238270759583,0.813759446144104,0.7498558759689331,0.4448360502719879,8970.7138671875,5336.21435546875,0.8438358306884766,0.7280238270759583,,,,,,,,,,,,,,,
