val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best,test/loss,test/acc,test/prec,test/rec,test/preds_sum,test/targets_sum,test/TP_epoch,test/FP_epoch,test/TN_epoch,test/FN_epoch,test/acc_epoch,test/prec_epoch,test/rec_epoch,test/preds_sum_epoch,test/targets_sum_epoch
0.16269302368164062,0.11737843602895737,0.0,0.0,0.0,392.0,0.22961875796318054,0.16269302368164062,0,21,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,21,0.19414474070072174,0.14006277918815613,0.0,0.0,0.0,442.3636474609375,0.14006277918815613,0.19414474070072174,,,,,,,,,,,,,,,
0.17452450096607208,0.11737843602895737,0.0,0.0,0.0,392.0,0.22961875796318054,0.16269302368164062,1,43,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,43,0.1853540986776352,0.13790550827980042,0.0,0.0,0.0,442.3636474609375,0.14006277918815613,0.1853540986776352,,,,,,,,,,,,,,,
0.15150432288646698,0.40792059898376465,0.3103427290916443,1.0,107.33333587646484,392.0,0.40792059898376465,0.15150432288646698,2,65,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,65,0.1701977252960205,0.22685103118419647,0.11762083321809769,0.6969706416130066,57.5,442.3636474609375,0.22685103118419647,0.1701977252960205,,,,,,,,,,,,,,,
0.13357222080230713,0.6905944347381592,0.6245017051696777,1.0,231.6666717529297,392.0,0.6905944347381592,0.13357222080230713,3,87,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,87,0.15616203844547272,0.5735753178596497,0.5240921378135681,0.9723932147026062,241.27272033691406,442.3636474609375,0.5735753178596497,0.15616203844547272,,,,,,,,,,,,,,,
0.12784211337566376,0.5877854228019714,0.5136412382125854,1.0,186.8333282470703,392.0,0.6905944347381592,0.12784211337566376,4,109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,109,0.14179769158363342,0.5599966049194336,0.4990183115005493,0.9875178933143616,224.40908813476562,442.3636474609375,0.5735753178596497,0.14179769158363342,,,,,,,,,,,,,,,
0.12118000537157059,0.6998815536499023,0.6353024840354919,1.0,236.8333282470703,392.0,0.6998815536499023,0.12118000537157059,5,131,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,131,0.1336827129125595,0.5721083283424377,0.5104331374168396,0.9909507632255554,226.77272033691406,442.3636474609375,0.5735753178596497,0.1336827129125595,,,,,,,,,,,,,,,
0.11362352222204208,0.7687175869941711,0.7088075280189514,1.0,260.3333435058594,392.0,0.7687175869941711,0.11362352222204208,6,153,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,153,0.1410943865776062,0.5965915322303772,0.5380086302757263,0.9895936846733093,236.63636779785156,442.3636474609375,0.5965915322303772,0.1336827129125595,,,,,,,,,,,,,,,
0.11400017887353897,0.7546772956848145,0.6934795379638672,1.0,255.5,392.0,0.7687175869941711,0.11362352222204208,7,175,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,175,0.12657584249973297,0.6404923796653748,0.5887642502784729,0.9920858144760132,262.8636474609375,442.3636474609375,0.6404923796653748,0.12657584249973297,,,,,,,,,,,,,,,
0.11143793910741806,0.7500489354133606,0.6903180480003357,1.0,256.3333435058594,392.0,0.7687175869941711,0.11143793910741806,8,197,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,197,0.11818062514066696,0.676330029964447,0.6316351294517517,0.9889087080955505,280.1363525390625,442.3636474609375,0.676330029964447,0.11818062514066696,,,,,,,,,,,,,,,
0.09989741444587708,0.825336754322052,0.7761074900627136,1.0,287.8333435058594,392.0,0.825336754322052,0.09989741444587708,9,219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,219,0.11631262302398682,0.6783944368362427,0.6312682628631592,0.9923512935638428,278.9545593261719,442.3636474609375,0.6783944368362427,0.11631262302398682,,,,,,,,,,,,,,,
0.10502693802118301,0.771844208240509,0.7159711718559265,1.0,265.1666564941406,392.0,0.825336754322052,0.09989741444587708,10,241,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,241,0.11503741890192032,0.702923059463501,0.6618828773498535,0.9890328049659729,296.0454406738281,442.3636474609375,0.702923059463501,0.11503741890192032,,,,,,,,,,,,,,,
0.05155226215720177,0.8948080539703369,0.8679789900779724,0.9985337257385254,332.3333435058594,392.0,0.8948080539703369,0.05155226215720177,11,263,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,263,0.10476844012737274,0.7352777719497681,0.6983034610748291,0.9910320043563843,309.68182373046875,442.3636474609375,0.7352777719497681,0.10476844012737274,,,,,,,,,,,,,,,
0.010416337288916111,0.9835150241851807,0.9784182906150818,1.0,381.3333435058594,392.0,0.9835150241851807,0.010416337288916111,12,285,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,285,0.051716484129428864,0.8890058398246765,0.8745149374008179,0.9945539236068726,387.0454406738281,442.3636474609375,0.8890058398246765,0.051716484129428864,,,,,,,,,,,,,,,
0.01676086150109768,0.9607100486755371,0.951047420501709,1.0,370.0,392.0,0.9835150241851807,0.010416337288916111,13,307,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,307,0.02977571450173855,0.9560415148735046,0.9514936208724976,0.9970096349716187,422.5454406738281,442.3636474609375,0.9560415148735046,0.02977571450173855,,,,,,,,,,,,,,,
